game_id,1_opener_fip,1_opener_freshness,1_others_fip,1_others_freshness,1_woba,1_ooa,1_home,1_team,1_is_wildcard,2_opener_fip,2_opener_freshness,2_others_fip,2_others_freshness,2_woba,w_ooa,2_team,2_is_wildcard,is_playoff,result
ARI_COL_2017-10-04,3.43,17280.0,5.746,80611.2,0.329,-2,0,ARI,0,9.91,96480.0,3.552857142857143,66270.85714285694,0.332,21,COL,0,1,1
ARI_LAD_2017-10-06,16.16,96480.0,2.46,61398.0,0.329,-2,1,ARI,0,10.58,8376.0,4.16,40792.0,0.33,-18,LAD,0,1,0
ARI_LAD_2017-10-07,2.71,72.0,3.926666666666667,56.0,0.329,-2,1,ARI,0,6.66,8496.0,2.2150000000000003,18908.0,0.33,-18,LAD,0,1,0
ARI_LAD_2017-10-09,3.56,8808.0,2.5675,48.0,0.33,-18,1,LAD,0,7.08,120.0,3.47,60.0,0.329,-2,ARI,0,1,1
ARI_LAD_2023-10-07,2.62,96480.0,5.734999999999999,96.0,0.317,35,1,ARI,0,51.26,8640.0,5.926666666666667,43600.0,0.341,-4,LAD,0,1,1
ARI_MIL_2023-10-04,3.42,96480.0,1.7033333333333331,24.0,0.317,35,1,ARI,0,5.06,17352.0,1.54,24.0,0.309,39,MIL,0,1,1
ARI_PHI_2023-10-16,6.44,168.0,4.76,48348.0,0.317,35,1,ARI,0,2.04,168.0,2.6766666666666663,96.0,0.329,6,PHI,0,1,0
ARI_PHI_2023-10-17,1.7,144.0,6.81,156.0,0.329,6,0,PHI,0,5.92,240.0,4.92,144.0,0.317,35,ARI,0,1,1
ARI_PHI_2023-10-21,2.37,120.0,3.133333333333333,24.0,0.329,6,1,PHI,0,6.93,120.0,3.7649999999999997,24.0,0.317,35,ARI,0,1,1
ARI_PHI_2023-10-23,3.04,144.0,4.926666666666667,144.0,0.329,6,0,PHI,0,4.73,144.0,1.7533333333333332,72.0,0.317,35,ARI,0,1,0
ARI_TEX_2023-10-27,2.77,120.0,5.6175,174.0,0.34,32,0,TEX,1,6.33,144.0,3.8966666666666665,100.0,0.317,35,ARI,0,1,1
ARI_TEX_2023-10-31,3.26,96.0,6.84,24.0,0.317,35,0,ARI,0,3.62,72.0,6.767999999999999,163.2,0.34,32,TEX,1,1,0
ARI_TEX_2023-11-01,5.48,120.0,3.215,120.0,0.317,35,0,ARI,0,2.98,120.0,3.86,48.0,0.34,32,TEX,1,1,0
ATL_CIN_2020-09-30,0.45,17352.0,1.5025,82401.6,0.312,-12,1,CIN,0,2.19,8568.0,2.475714285714286,26166.857142856945,0.355,13,ATL,0,1,0
ATL_CIN_2020-10-01,1.13,96480.0,6.193333333333334,24.0,0.312,-12,1,CIN,0,1.19,96480.0,1.0966666666666667,24.0,0.355,13,ATL,0,1,0
ATL_HOU_2021-10-26,4.25,168.0,2.2449999999999997,72.0,0.31668919772583703,12,1,ATL,0,5.88,144.0,4.1739999999999995,158.4,0.31668919772583703,34,HOU,0,1,1
