team,team_id_x,year,primary_pos_formatted,outs_above_average,outs_above_average_infront,outs_above_average_lateral_toward3bline,outs_above_average_lateral_toward1bline,outs_above_average_behind,outs_above_average_rhh,outs_above_average_lhh,actual_success_rate_formatted,adj_estimated_success_rate_formatted,diff_success_rate_formatted,team_id_y,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff,is_wildcard
Angels,108,2017,,9,9,-3,-1,5,-1,11,80%,80%,0%,LAA,6072.0,4280.0,0.243,0.246,-0.003,0.397,0.403,-0.006,0.307,0.314,-0.007,0
Angels,108,2019,,7,-1,0,6,3,11,-4,79%,79%,0%,LAA,6251.0,4312.0,0.247,0.251,-0.004,0.422,0.42,0.002,0.316,0.324,-0.008,0
Angels,108,2018,,0,1,-3,1,2,1,-2,79%,79%,0%,LAA,6106.0,4218.0,0.242,0.244,-0.002,0.413,0.41,0.003,0.313,0.318,-0.005,0
Angels,108,2022,,0,1,-3,-4,6,-11,11,80%,80%,0%,LAA,5977.0,3934.0,0.233,0.231,0.002,0.39,0.387,0.003,0.3,0.3,0.0,0
Angels,108,2016,,-4,-2,8,-7,-2,-2,-2,77%,77%,0%,LAA,6038.0,4525.0,0.26,0.261,-0.001,0.405,0.413,-0.0079999999999999,0.314,0.322,-0.008,0
Angels,108,2023,,-20,-5,-7,-9,1,-13,-7,77%,77%,0%,LAA,6145.0,4019.0,0.245,0.238,0.007,0.426,0.412,0.014,0.32,0.315,0.005,0
Angels,108,2020,,-20,0,-10,-6,-4,-12,-8,78%,79%,-1%,LAA,2308.0,1554.0,0.248,0.247,0.001,0.43,0.417,0.013,0.329,0.33,-0.001,0
Angels,108,2021,,-22,11,-12,-19,-1,-15,-7,77%,78%,-1%,,,,,,,,,,,,,0
Angels,108,2024,,-37,-14,-23,-2,2,-34,-3,79%,80%,-1%,LAA,5975.0,3988.0,0.229,0.234,-0.005,0.369,0.378,-0.009,0.296,0.304,-0.008,0
Angels,108,2025,,-53,-16,-10,-28,1,-38,-15,77%,79%,-2%,LAA,6000.0,3795.0,0.225,0.239,-0.0139999999999999,0.397,0.425,-0.0279999999999999,0.302,0.319,-0.017,0
