"team_name","team_id","year","primary_pos_formatted","outs_above_average","outs_above_average_infront","outs_above_average_lateral_toward3bline","outs_above_average_lateral_toward1bline","outs_above_average_behind","outs_above_average_rhh","outs_above_average_lhh","actual_success_rate_formatted","adj_estimated_success_rate_formatted","diff_success_rate_formatted"
"Angels","108","2017","",9,9,-3,-1,5,-1,11,"80%","80%","0%"
"Angels","108","2019","",7,-1,0,6,3,11,-4,"79%","79%","0%"
"Angels","108","2018","",0,1,-3,1,2,1,-2,"79%","79%","0%"
"Angels","108","2022","",0,1,-3,-4,6,-11,11,"80%","80%","0%"
"Angels","108","2016","",-4,-2,8,-7,-2,-2,-2,"77%","77%","0%"
"Angels","108","2023","",-20,-5,-7,-9,1,-13,-7,"77%","77%","0%"
"Angels","108","2020","",-20,0,-10,-6,-4,-12,-8,"78%","79%","-1%"
"Angels","108","2021","",-22,11,-12,-19,-1,-15,-7,"77%","78%","-1%"
"Angels","108","2024","",-37,-14,-23,-2,2,-34,-3,"79%","80%","-1%"
"Angels","108","2025","",-53,-16,-10,-28,1,-38,-15,"77%","79%","-2%"
"Astros","117","2019","",51,24,19,6,3,26,25,"79%","78%","1%"
"Astros","117","2018","",47,8,26,10,5,24,23,"80%","79%","1%"
"Astros","117","2022","",38,17,-6,19,7,24,13,"80%","79%","1%"
"Astros","117","2021","",34,22,-1,11,2,30,4,"79%","78%","1%"
"Astros","117","2025","",32,6,11,11,4,23,9,"80%","79%","1%"
"Astros","117","2020","",6,7,5,-8,1,3,3,"80%","79%","1%"
"Astros","117","2017","",6,5,1,2,-2,0,5,"79%","78%","1%"
"Astros","117","2023","",5,8,-1,-3,1,5,0,"79%","79%","0%"
"Astros","117","2016","",4,6,3,0,-5,12,-7,"77%","77%","0%"
"Astros","117","2024","",-2,0,2,-3,-1,2,-4,"80%","80%","0%"
"Athletics","133","2021","",20,19,-4,-1,5,19,1,"78%","78%","0%"
"Athletics","133","2018","",20,6,6,9,1,6,14,"81%","81%","0%"
"Athletics","133","2019","",4,3,4,-7,4,11,-6,"80%","80%","0%"
"Athletics","133","2022","",-8,4,4,-11,-5,-13,6,"79%","79%","0%"
"Athletics","133","2020","",-9,0,-1,-11,2,-6,-3,"78%","78%","0%"
"Athletics","133","2025","",-15,5,-4,-2,-14,0,-15,"78%","79%","-1%"
"Athletics","133","2016","",-17,9,-27,6,-5,-12,-6,"77%","78%","-1%"
"Athletics","133","2017","",-21,-17,6,-3,-7,-12,-9,"79%","80%","-1%"
"Athletics","133","2023","",-22,2,-12,-11,-1,-22,0,"78%","78%","0%"
"Athletics","133","2024","",-47,4,-34,-11,-5,-21,-25,"78%","79%","-1%"
"Blue Jays","141","2024","",22,8,-1,12,2,15,7,"80%","79%","1%"
"Blue Jays","141","2025","",20,-2,12,3,6,0,20,"80%","79%","1%"
"Blue Jays","141","2023","",9,3,2,-1,5,10,-1,"79%","79%","0%"
"Blue Jays","141","2022","",6,-3,4,-3,7,1,5,"79%","79%","0%"
"Blue Jays","141","2016","",4,20,-13,-1,0,8,-4,"79%","79%","0%"
"Blue Jays","141","2021","",-9,-11,-6,5,2,-6,-3,"79%","80%","-1%"
"Blue Jays","141","2020","",-13,-1,-7,-5,-1,-8,-4,"77%","78%","-1%"
"Blue Jays","141","2019","",-27,-8,-15,-7,2,-12,-15,"77%","78%","-1%"
"Blue Jays","141","2018","",-40,5,-11,-32,-3,-21,-19,"78%","79%","-1%"
"Blue Jays","141","2017","",-42,-6,-14,-15,-6,-35,-6,"77%","78%","-1%"
"Braves","144","2018","",44,9,13,20,0,26,18,"80%","79%","1%"
"Braves","144","2020","",13,5,5,4,-1,5,8,"79%","78%","1%"
"Braves","144","2021","",12,21,-7,-3,1,0,12,"80%","79%","1%"
"Braves","144","2016","",7,0,-9,19,-4,-1,8,"77%","77%","0%"
"Braves","144","2022","",6,9,10,-10,-3,0,6,"79%","79%","0%"
"Braves","144","2019","",4,17,-14,6,-5,6,-2,"76%","76%","0%"
"Braves","144","2025","",3,12,-3,-6,0,-3,6,"79%","79%","0%"
"Braves","144","2024","",1,17,3,-18,-2,1,-1,"79%","79%","0%"
"Braves","144","2023","",-11,-2,0,-14,5,-7,-5,"79%","79%","0%"
"Braves","144","2017","",-25,0,-21,-1,-3,-17,-9,"77%","78%","-1%"
"Brewers","158","2023","",39,16,14,5,5,24,15,"81%","80%","1%"
"Brewers","158","2018","",38,8,6,23,1,30,8,"80%","79%","1%"
"Brewers","158","2025","",33,14,4,12,4,22,11,"80%","79%","1%"
"Brewers","158","2017","",29,-4,2,27,5,16,13,"79%","78%","1%"
"Brewers","158","2024","",29,12,10,1,5,21,8,"80%","79%","1%"
"Brewers","158","2022","",4,-4,7,-3,4,-2,6,"79%","79%","0%"
"Brewers","158","2020","",4,0,2,-1,3,-1,5,"78%","77%","1%"
"Brewers","158","2019","",2,-11,10,-1,5,-4,7,"77%","77%","0%"
"Brewers","158","2021","",-21,-11,-11,-2,3,-9,-12,"79%","80%","-1%"
"Brewers","158","2016","",-32,-6,-8,-13,-4,-41,9,"76%","77%","-1%"
"Cardinals","138","2021","",52,29,6,9,8,31,20,"81%","79%","2%"
"Cardinals","138","2025","",36,8,9,13,7,26,10,"78%","77%","1%"
"Cardinals","138","2022","",28,16,0,7,5,29,-1,"80%","79%","1%"
"Cardinals","138","2019","",27,7,2,10,9,13,15,"79%","79%","0%"
"Cardinals","138","2024","",13,17,-11,6,1,10,2,"79%","78%","1%"
"Cardinals","138","2020","",7,0,4,-2,5,5,3,"81%","80%","1%"
"Cardinals","138","2023","",-4,8,-6,-3,-4,-8,4,"76%","76%","0%"
"Cardinals","138","2016","",-5,2,-7,-1,1,-2,-2,"76%","76%","0%"
"Cardinals","138","2017","",-10,-8,-7,1,4,6,-16,"78%","78%","0%"
