Gcar,Gtm,Date,Team,Home,Opp,Result,Series,Inngs,Dec,DR,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA,FIP,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,IR,IS,SB,CS,PO,AB,2B,3B,GIDP,SF,ROE,BAbip,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Id,GmSc,DFS(DK),DFS(FD)
1.0,1.0,2023-10-03,MIA,@,PHI,"L, 1-4",NLWC G1,8-GF,,2.0,1.0,2,1,1,0,0,0,1,0,0,0,5,9.0,1.26,16,11,4,1,0,4,2,0,0,0,0,0,0,0,5,1,0,0,0,0,0.5,0.28,0.0,2.88,-0.2%,-0.48,8b --- 0 out d2,8b 3 out d3,okertst01,,,
,,,,,,0-1,,,W-L:0-0,,1.0,2,1,1,0,0,0,1,0,0,0,5,9.0,1.26,16,11,4,1,0,4,2,0,0,0,0,0,0,0,5,1,0,0,0,0,0.5,0.28,0.0,2.88,-0.2%,-0.48,,,okertst01,,,
1,1,2016-10-07,WSN,,LAD,"L, 3-4",NLDS G1,7-8,,4,2.0,1,0,0,0,1,1,1,0,0,0,8,0.00,3.65,33,18,6,2,5,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,.167,1.04,0.1,16.36,1.1%,1.02,7t --- 0 out d1,8t 3 out d1,solissa01,,,
2,2,2016-10-09,WSN,,LAD,"W, 5-2",NLDS G2,6-6,H(1),1,0.1,0,0,0,0,0,0,0,0,0,0,1,0.00,3.57,2,1,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,.000,2.27,0.1,34.70,0.5%,0.44,6t 12- 2 out a2,6t 3 out a2,solissa01,,,
3,3,2016-10-10,WSN,@,LAD,"W, 8-3",NLDS G3,5-7,W(1-0),0,1.2,1,0,0,0,1,0,1,0,0,0,7,0.00,3.65,34,19,4,4,2,3,1,0,0,0,0,0,0,0,6,0,0,0,0,0,.200,1.31,0.1,27.45,1.7%,0.74,5b --- 1 out a1,6b 3 out a1,solissa01,,,
4,4,2016-10-11,WSN,@,LAD,"L, 5-6",NLDS G4,8-GF,,0,0.1,0,0,0,0,0,0,0,0,0,0,1,0.00,3.61,2,2,0,1,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,.000,1.09,0.0,21.15,0.3%,0.49,8b 1-3 2 out d1,8b 3 out d1,solissa01,,,
5,5,2016-10-13,WSN,,LAD,"L, 3-4",NLDS G5,7-7,,1,0.1,1,1,1,0,0,0,0,0,0,0,2,1.93,3.57,9,6,2,0,1,1,0,0,0,2,1,0,0,0,2,0,0,0,0,0,.500,2.65,-0.1,110.42,-3.3%,-0.52,7t 12- 1 out tie,7t 12- 2 out d1,solissa01,,,
6,2,2017-10-07,WSN,,CHC,"W, 6-3",NLDS G2,7-7,,6,0.2,0,0,0,0,0,0,1,0,0,0,2,0.00,0.16,8,5,1,3,0,1,1,0,0,1,0,0,0,0,2,0,0,0,0,0,.000,0.73,0.0,11.16,0.4%,0.56,7t 1-- 1 out d2,7t 3 out d2,solissa01,,,
7,3,2017-10-09,WSN,@,CHC,"L, 1-2",NLDS G3,7-7,BS(1),1,0.0,2,0,0,0,0,0,0,0,0,0,2,0.00,0.16,10,6,1,0,0,2,2,0,0,1,1,0,0,0,2,0,0,0,0,0,1.000,2.33,-0.2,48.68,-2.9%,-1.24,7b -2- 1 out a1,7b 12- 1 out tie,solissa01,,,
8,5,2017-10-12,WSN,,CHC,"L, 8-9",NLDS G5,7-7,,2,0.1,2,1,1,0,0,0,0,0,0,0,3,9.00,1.16,12,8,1,1,2,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,.667,0.66,0.0,27.36,-1.3%,-0.69,7t --- 0 out d2,7t 1-3 1 out d2,solissa01,,,
,,,,,,3-5,,,"W-L:1-0,BSv:1,Hld:1",,5.2,7,2,2,0,2,1,3,0,0,0,26,3.18,3.15,110,65,15,11,11,10,4,0,0,8,2,0,0,0,24,0,0,0,0,0,.333,1.32,0.0,48.68,-3.5%,0.80,,,solissa01,,,
1,7,2006-10-15,NYM,@,STL,"W, 12-5",NLCS G4,GS-6,W(1-0),13,5.2,9,5,5,3,1,0,3,0,0,0,26,7.94,9.50,92,56,16,6,7,15,4,2,0,,,1,0,0,25,0,1,1,0,1,.316,1.00,0.0,32.23,-1.1%,-1.90,1b --- 0 out tie,6b --- 2 out a6,perezol01,33,,
2,10,2006-10-19,NYM,,STL,"L, 1-3",NLCS G7,GS-6,,3,6.0,4,1,1,0,2,1,4,1,0,0,24,4.63,6.32,88,61,21,5,5,12,2,3,0,,,0,0,0,19,1,0,1,0,1,.267,1.32,0.3,110.04,12.0%,2.18,1t --- 0 out tie,6t 3 out tie,perezol01,62,,
